ticker,alpha,beta
BND,0.027486145828068118,-0.031881805396732715
BSV,0.013324502344598511,-0.024068098523185002
BIV,0.03334514355810077,-0.04065015472068483
BLV,0.05609933152176187,-0.04787614302032245
VGSH,0.007145729846127887,-0.026486275100787826
VGLT,0.059226651510176684,-0.18797103140268337
VCSH,0.019433823560544433,-0.006784533607317117
VCIT,0.03914344499847332,0.008493291099427674
VCLT,0.053970362029265015,0.05338088898908751
VMBS,0.016759433275902905,-0.026456819393566415
VGIT,0.023574775528335992,-0.06926969811011044
EDV,0.08045750571928753,-0.2965095862357703
VTI,0.013771334483785482,1.0033000151623708
MGC,0.023310616213530783,1.0158512142724485
MGK,0.042302909881849114,1.0735991446471527
MGV,0.004161868209623172,0.9713091024689982
VV,0.01925025836057455,1.001075940594721
VUG,0.04006854980851807,1.055619109075829
VTV,-0.001819303906395505,0.9580500611777575
VXF,-0.017188473285866725,1.021597054690612
VO,-0.004763738349246968,0.9764263176031158
VOT,0.020765189835167425,1.0165312391532
VOE,-0.030577230082156345,0.9351704769110513
VB,-0.018363765161672183,1.0204597453684991
VBK,0.01663333379076486,1.0788316646038263
VBR,-0.049196463987672565,0.9686040326713071
VIG,0.03383433177841738,0.9160945590936367
VYM,-0.005721123746347846,0.8911571151042791
VCR,0.01413025508576738,1.0068799168431353
VDC,0.013972432087075853,0.6797596550277372
VDE,-0.17418319825621442,1.0803777887494306
VFH,-0.028838586842343496,1.0686063828050005
VHT,0.02667668008640977,1.040481050780853
VIS,-0.03952094421807001,1.0666591218317796
VGT,0.09998134098699432,1.1394639970741836
VAW,-0.09304049374369058,1.0113472392389968
VNQ,0.051837061049510524,0.5361833157341092
VOX,-0.04306332033150412,0.9513747286155729
VPU,0.10468842101263154,0.3011165344242465
VT,-0.02064412636174462,0.876007636003028
VEU,-0.05963196363203776,0.7452475330323418
VEA,-0.060185814327160435,0.752838438086302
VGK,-0.05204916036478192,0.741498628948249
VPL,-0.0775682608142606,0.7809276281143842
VWO,-0.07180528897795681,0.7333553734881052
VSS,-0.08721362000079355,0.7466970564004562
